Timestamp,FewShot_Count,Order_Strategy,Original_Individual,New_Individual,Original_Macro_F1,New_Macro_F1
2026-03-10 18:25:55,10,group_bug_feature_question,"[14, 273, 501, 514, 565, 746, 777, 837, 840, 1014]","[14, 837, 501, 514, 273, 565, 746, 777, 840, 1014]",0.1195618153364632,0.1967380224260958
2026-03-10 18:27:28,10,group_bug_question_feature,"[14, 273, 501, 514, 565, 746, 777, 837, 840, 1014]","[14, 837, 273, 565, 746, 777, 840, 1014, 501, 514]",0.1195618153364632,0.2724497126436782
2026-03-10 18:28:54,10,group_feature_bug_question,"[14, 273, 501, 514, 565, 746, 777, 837, 840, 1014]","[501, 514, 14, 837, 273, 565, 746, 777, 840, 1014]",0.1195618153364632,0.1335178139052231
2026-03-10 18:30:19,10,group_feature_question_bug,"[14, 273, 501, 514, 565, 746, 777, 837, 840, 1014]","[501, 514, 273, 565, 746, 777, 840, 1014, 14, 837]",0.1195618153364632,0.1569664902998236
2026-03-10 18:31:43,10,group_question_bug_feature,"[14, 273, 501, 514, 565, 746, 777, 837, 840, 1014]","[273, 565, 746, 777, 840, 1014, 14, 837, 501, 514]",0.1195618153364632,0.2166666666666666
2026-03-10 18:33:04,10,group_question_feature_bug,"[14, 273, 501, 514, 565, 746, 777, 837, 840, 1014]","[273, 565, 746, 777, 840, 1014, 501, 514, 14, 837]",0.1195618153364632,0.2219400096758587
2026-03-10 18:35:41,10,long_to_short,"[14, 273, 501, 514, 565, 746, 777, 837, 840, 1014]","[14, 1014, 514, 565, 501, 837, 746, 840, 777, 273]",0.1195618153364632,0.1242566510172143
2026-03-10 18:34:22,10,short_to_long,"[14, 273, 501, 514, 565, 746, 777, 837, 840, 1014]","[273, 777, 840, 746, 837, 501, 565, 514, 1014, 14]",0.1195618153364632,0.2591450819608241
2026-03-10 18:25:59,12,group_bug_feature_question,"[22, 118, 287, 315, 384, 436, 534, 772, 788, 891, 947, 1025]","[436, 947, 772, 788, 22, 118, 287, 315, 384, 534, 891, 1025]",0.2301963225608545,0.2706766917293233
2026-03-10 18:27:26,12,group_bug_question_feature,"[22, 118, 287, 315, 384, 436, 534, 772, 788, 891, 947, 1025]","[436, 947, 22, 118, 287, 315, 384, 534, 891, 1025, 772, 788]",0.2301963225608545,0.2283502660861151
